time,D1_old,D2_old,SB_initiation_strain,average_strain_inside_SB,crss_gp_shear,crss_or,epsilon_p_zz,global_strain,global_stress,inside_sb_region,local_crss_dendrite_core,local_crss_interdendrite,local_damage_dendrite_core,local_damage_interdendrite,local_strain_dendrite_core,local_strain_interdendrite,max_crss_shear,min_crss_shear,residual_ssd_1,sb_initiation_old,slip_resistance_1,slip_resistance_gamma,strain_zz_old,w_back,w_front
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,383.66721578945,57.088599999089,1e-10,0.00025794369330711,0,0,143.52437395235,118.32625851802,3.1864788681692e-22,1.5916097470016e-16,0,0,383.66721578945,325.9663990251,0,0,15.525092551977,136.03660328854,0,-0.0072342168376332,-0.0056865546777905
0.21,0,0,0,-2.7105054312138e-20,383.66721578945,57.088599999089,1e-10,0.00054109397294186,0.0018312468675031,0,143.52437395235,118.32625851802,1.3643859347029e-18,6.1863160027964e-13,-5.4210108624275e-20,0,383.66721578945,325.9663990251,0,0,15.525092552005,136.03660328854,1e-10,-0.013388333012926,-0.010141769175275
0.331,0,0,0,0,383.66721578945,57.088599999089,9.2931242340796e-11,0.00085218752701711,0.004512108976692,0,143.52437395235,118.32625851921,2.2684130519194e-16,1.0305400890604e-10,0,0,383.66721578945,325.9663990251,0,0,15.525092555138,136.03660328857,1e-10,-0.017085044719496,-0.011971919557393
0.4641,0,0,0,-5.4210108624275e-20,383.66721578945,57.088599999089,-1.3815336071134e-10,0.0011939270092074,0.013049374448819,0,143.52437395235,118.32625864467,1.0386391599617e-14,4.7796945761372e-09,-2.168404344971e-19,1.0842021724855e-19,383.66721578945,325.9663990251,0,0,15.525092666289,136.03660329168,-2.8971194887539e-10,-0.0079430379079221,-0.00077947585267769
0.61051,0,0,0,-1.0842021724855e-19,383.66721578945,57.088599999089,-3.9977605905031e-09,0.0015691932282534,0.030167939724973,0,143.52437395238,118.32626282253,2.3401995845483e-13,1.1079674047348e-07,-2.168404344971e-19,0,383.66721578945,325.9663990251,0,0,15.525094783376,136.03660340145,-9.6260882320731e-09,0.018483075762628,0.027898235132148
0.771561,0,0,0,-3.6111186457261e-35,383.66721578945,57.088599999089,-4.8444063621209e-08,0.0019807079165641,0.053359935412596,0,143.52437395292,118.32633697629,3.457820207357e-12,1.6563162981474e-06,-2.168404344971e-19,2.168404344971e-19,383.66721578945,325.9663990251,0,0,15.525121657233,136.03660548733,-1.704290471527e-07,5.4643092890615,5.4761935365609
0.9487171,0,0,0,-2.168404344971e-19,383.66721578945,57.088599999089,-4.3364927695034e-07,0.0024327329396413,0.0812340614173,0,143.52437395947,118.32721786027,3.7578690453778e-11,1.7899362401475e-05,-4.336808689942e-19,0,383.66721578945,325.9663990251,0,0,15.525375758953,136.03663190545,-2.0243951016699e-06,5.4580124885694,5.4726088862072
1.14358881,0,0,0,-3.7557864968429e-19,383.66721578945,57.088599999089,-4.3531281413733e-07,0.0025766218656649,0.13177230108489,0,143.52577386109,222.12843016914,1.0771963400306e-10,1.7954288960511e-05,-1.1848381683628e-18,4.336808689942e-19,383.66721578945,325.9663990251,201.39969907159,0,40.746974037738,161.25844624316,-1.7929617502382e-05,5.458438989068,5.473898720262
1.357947691,0,0,0,0.00014281062183381,383.66721578945,57.088599999089,-4.3611228825941e-07,0.0027904953452458,0.84298233714626,0,143.52577406766,222.12875548896,3.0044876962892e-10,1.7997270311434e-05,0.00014149404174683,0.00014412720192079,383.66721578945,325.9663990251,201.39969907159,0,40.746975927466,161.25847502323,-1.798324477513e-05,5.4590872258682,5.4758301979396
